	Release_Date	Title	Budget	Opening_Weekend	Domestic_Box_Office	Worldwide_Box_Office	International_Box_Office	Profit	Phase
0	2008-05-02	Iron Man	186000000.0	102118668.0	318604126.0	585171547.0	266567421.0	399171547.0	1
1	2008-06-13	The Incredible Hulk	137500000.0	55414050.0	134806913.0	265573859.0	130766946.0	128073859.0	1
2	2010-05-07	Iron Man 2	170000000.0	128122480.0	312433331.0	621156389.0	308723058.0	451156389.0	1
3	2011-05-06	Thor	150000000.0	65723338.0	181030624.0	449326618.0	268295994.0	299326618.0	1
4	2011-07-22	Captain America: The First …	140000000.0	65058524.0	176654505.0	370569776.0	193915271.0	230569776.0	1
5	2012-05-04	The Avengers	225000000.0	207438708.0	623357910.0	1515100211.0	891742301.0	1290100211.0	1
6	2013-05-03	Iron Man 3	200000000.0	174144585.0	408992272.0	1215392272.0	806400000.0	1015392272.0	2
7	2013-11-08	Thor: The Dark World	150000000.0	85737841.0	206362140.0	644602516.0	438240376.0	494602516.0	2
8	2014-04-04	Captain America: The Winter…	170000000.0	95023721.0	259746958.0	714401889.0	454654931.0	544401889.0	2
9	2014-08-01	Guardians of the Galaxy	170000000.0	94320883.0	333714112.0	770882395.0	437168283.0	600882395.0	2
10	2015-05-01	Avengers: Age of Ultron	365000000.0	191271109.0	459005868.0	1395316979.0	936311111.0	1030316979.0	2
11	2015-07-17	Ant-Man	130000000.0	57225526.0	180202163.0	518858449.0	338656286.0	388858449.0	2
12	2016-05-06	Captain America: Civil War	250000000.0	179139142.0	408084349.0	1151899586.0	743815237.0	901899586.0	3
13	2016-11-04	Doctor Strange	165000000.0	85058311.0	232641920.0	676343174.0	443701254.0	511343174.0	3
14	2017-05-05	Guardians of the Galaxy Vol 2	200000000.0	146510104.0	389813101.0	869087963.0	479274862.0	669087963.0	3
15	2017-07-07	Spider-Man: Homecoming	175000000.0	117027503.0	334201140.0	878271291.0	544070151.0	703271291.0	3
16	2017-11-03	Thor: Ragnarok	180000000.0	122744989.0	315058289.0	850482778.0	535424489.0	670482778.0	3
17	2018-02-16	Black Panther	200000000.0	202003951.0	700059566.0	1336494320.0	636434754.0	1136494320.0	3
18	2018-04-27	Avengers: Infinity War	300000000.0	257698183.0	678815482.0	2048359754.0	1369544272.0	1748359754.0	3
19	2018-07-06	Ant-Man and the Wasp	130000000.0	75812205.0	216648740.0	623144660.0	406495920.0	493144660.0	3
20	2019-03-08	Captain Marvel	175000000.0	153433423.0	426829839.0	1129576094.0	702746255.0	954576094.0	3
21	2019-04-26	Avengers: Endgame	400000000.0	357115007.0	858373000.0	2794731755.0	1936358755.0	2394731755.0	3
22	2019-07-02	Spider-Man: Far From Home	160000000.0	92579212.0	390532085.0	1132107522.0	741575437.0	972107522.0	3
23	2021-07-09	Black Widow	200000000.0	80366312.0	183651655.0	379751131.0	196099476.0	179751131.0	4
24	2021-09-03	Shang-Chi and the Legend of…	150000000.0	75388688.0	224543292.0	432224634.0	207681342.0	282224634.0	4
25	2021-11-05	Eternals	200000000.0	71297219.0	164870264.0	401731759.0	236861495.0	201731759.0	4
26	2021-12-17	Spider-Man: No Way Home	200000000.0	260138569.0	814115070.0	1910048245.0	1095933175.0	1710048245.0	4
27	2022-05-06	Doctor Strange in the Multi…	200000000.0	187420998.0	411331607.0	952224986.0	540893379.0	752224986.0	4
28	2022-07-08	Thor: Love and Thunder	250000000.0	144165107.0	343256830.0	760928081.0	417671251.0	510928081.0	4
29	2022-11-11	Black Panther: Wakanda Forever	250000000.0	181339761.0	453829060.0	853985546.0	400156486.0	603985546.0	4
30	2023-02-17	Ant-Man and the Wasp: Quant…	200000000.0	106109650.0	214457342.0	463585736.0	249128394.0	263585736.0	5
31	2023-05-05	Guardians of the Galaxy Vol 3	250000000.0	118414021.0	308859717.0	739420276.0	430560559.0	489420276.0	5
